lot,name,pool,reason
6,Ruturaj Gaikwad,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&titles=File%3ARuturaj_Gaikwad.jpeg%3Futm_source%3Den.wikipedia.org%26utm_campaign%3Dapi%26utm_content%3Doriginal&prop=imageinfo&iiprop=extmetadata%7Curl&format=json
7,Travis Head,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Travis+Head+cricketer&format=json&srlimit=3
9,Sai Sudharsan,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Sai+Sudharsan+cricketer&format=json&srlimit=3
10,Rinku Singh,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rinku+Singh+cricketer&format=json&srlimit=3
11,Rajat Patidar,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rajat+Patidar+cricketer&format=json&srlimit=3
12,Tilak Varma,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Tilak+Varma+cricketer&format=json&srlimit=3
13,David Miller,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=David+Miller+cricketer&format=json&srlimit=3
14,Tristan Stubbs,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Tristan+Stubbs+cricketer&format=json&srlimit=3
15,Rishabh Pant,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rishabh+Pant+cricketer&format=json&srlimit=3
16,Heinrich Klaasen,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Heinrich+Klaasen+cricketer&format=json&srlimit=3
17,Nicholas Pooran,A,no image on page
20,KL Rahul,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&titles=File%3AKL_Rahul_at_Femina_Miss_India_2018_Grand_Finale_%28cropped%29.jpg%3Futm_source%3Den.wikipedia.org%26utm_campaign%3Dapi%26utm_content%3Doriginal&prop=imageinfo&iiprop=extmetadata%7Curl&format=json
21,Quinton de Kock,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Quinton+de+Kock+cricketer&format=json&srlimit=3
22,Ishan Kishan,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Ishan+Kishan+cricketer&format=json&srlimit=3
23,Phil Salt,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Phil+Salt+cricketer&format=json&srlimit=3
24,MS Dhoni,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=MS+Dhoni+cricketer&format=json&srlimit=3
25,Rahmanullah Gurbaz,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rahmanullah+Gurbaz+cricketer&format=json&srlimit=3
26,Jitesh Sharma,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Jitesh+Sharma+cricketer&format=json&srlimit=3
27,Josh Inglis,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Josh+Inglis+cricketer&format=json&srlimit=3
28,Dhruv Jurel,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Dhruv+Jurel+cricketer&format=json&srlimit=3
29,Hardik Pandya,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Hardik+Pandya+cricketer&format=json&srlimit=3
30,Ravindra Jadeja,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Ravindra+Jadeja+cricketer&format=json&srlimit=3
35,Liam Livingstone,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&titles=Liam+Livingstone&prop=pageimages%7Cimageinfo&piprop=original&iiprop=extmetadata%7Curl&format=json
36,Mitchell Marsh,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Mitchell+Marsh+cricketer&format=json&srlimit=3
37,Nitish Kumar Reddy,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Nitish+Kumar+Reddy+cricketer&format=json&srlimit=3
38,Marcus Stoinis,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Marcus+Stoinis+cricketer&format=json&srlimit=3
39,Sam Curran,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Sam+Curran+cricketer&format=json&srlimit=3
40,Abhishek Sharma,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Abhishek+Sharma+cricketer&format=json&srlimit=3
44,Pat Cummins,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&titles=Pat+Cummins&prop=pageimages%7Cimageinfo&piprop=original&iiprop=extmetadata%7Curl&format=json
45,Mitchell Starc,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Mitchell+Starc+cricketer&format=json&srlimit=3
49,Mohammed Siraj,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&titles=Mohammed+Siraj&prop=pageimages%7Cimageinfo&piprop=original&iiprop=extmetadata%7Curl&format=json
50,Matheesha Pathirana,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Matheesha+Pathirana+cricketer&format=json&srlimit=3
51,Harshit Rana,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Harshit+Rana+cricketer&format=json&srlimit=3
52,Mayank Yadav,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Mayank+Yadav+cricketer&format=json&srlimit=3
53,Prasidh Krishna,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Prasidh+Krishna+cricketer&format=json&srlimit=3
54,Josh Hazlewood,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Josh+Hazlewood+cricketer&format=json&srlimit=3
55,Jofra Archer,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Jofra+Archer+cricketer&format=json&srlimit=3
56,Sandeep Sharma,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Sandeep+Sharma+cricketer&format=json&srlimit=3
57,Rashid Khan,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rashid+Khan+cricketer&format=json&srlimit=3
58,Yuzvendra Chahal,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Yuzvendra+Chahal+cricketer&format=json&srlimit=3
59,Kuldeep Yadav,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Kuldeep+Yadav+cricketer&format=json&srlimit=3
60,Ravi Bishnoi,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Ravi+Bishnoi+cricketer&format=json&srlimit=3
61,Varun Chakaravarthy,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Varun+Chakaravarthy+cricketer&format=json&srlimit=3
62,Wanindu Hasaranga,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Wanindu+Hasaranga+cricketer&format=json&srlimit=3
63,Maheesh Theekshana,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Maheesh+Theekshana+cricketer&format=json&srlimit=3
64,Ravichandran Ashwin,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Ravichandran+Ashwin+cricketer&format=json&srlimit=3
65,Adam Zampa,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Adam+Zampa+cricketer&format=json&srlimit=3
66,Noor Ahmad,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Noor+Ahmad+cricketer&format=json&srlimit=3
67,R Sai Kishore,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=R+Sai+Kishore+cricketer&format=json&srlimit=3
68,Adil Rashid,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Adil+Rashid+cricketer&format=json&srlimit=3
69,Tabraiz Shamsi,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Tabraiz+Shamsi+cricketer&format=json&srlimit=3
70,Rahul Chahar,A,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rahul+Chahar+cricketer&format=json&srlimit=3
71,Harry Brook,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Harry+Brook+cricketer&format=json&srlimit=3
72,Manish Pandey,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Manish+Pandey+cricketer&format=json&srlimit=3
73,Ayush Badoni,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Ayush+Badoni+cricketer&format=json&srlimit=3
74,Nehal Wadhera,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Nehal+Wadhera+cricketer&format=json&srlimit=3
75,Jake Fraser-McGurk,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Jake+Fraser-McGurk+cricketer&format=json&srlimit=3
76,Rovman Powell,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Rovman+Powell+cricketer&format=json&srlimit=3
77,Shimron Hetmyer,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Shimron+Hetmyer+cricketer&format=json&srlimit=3
78,Aiden Markram,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Aiden+Markram+cricketer&format=json&srlimit=3
79,Tim David,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Tim+David+cricketer&format=json&srlimit=3
80,Glenn Phillips,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Glenn+Phillips+cricketer&format=json&srlimit=3
81,Devdutt Padikkal,B,error: 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Devdutt+Padikkal+cricketer&format=json&srlimit=3
